12414,brx-x-icu,11,10,i,True,-1,,,brx,,153.14
12415,brx-IN-x-icu,11,10,i,True,-1,,,brx-IN,,153.14
12416,bs-x-icu,11,10,i,True,-1,,,bs,,153.14.37
12417,bs-Cyrl-x-icu,11,10,i,True,-1,,,bs-Cyrl,,153.14.37
12418,bs-Cyrl-BA-x-icu,11,10,i,True,-1,,,bs-Cyrl-BA,,153.14.37
12419,bs-Latn-x-icu,11,10,i,True,-1,,,bs-Latn,,153.14.37
12420,bs-Latn-BA-x-icu,11,10,i,True,-1,,,bs-Latn-BA,,153.14.37
12421,ca-x-icu,11,10,i,True,-1,,,ca,,153.14
12422,ca-AD-x-icu,11,10,i,True,-1,,,ca-AD,,153.14
12423,ca-ES-x-icu,11,10,i,True,-1,,,ca-ES,,153.14
12424,ca-FR-x-icu,11,10,i,True,-1,,,ca-FR,,153.14
12425,ca-IT-x-icu,11,10,i,True,-1,,,ca-IT,,153.14
12426,ccp-x-icu,11,10,i,True,-1,,,ccp,,153.14
12427,ccp-BD-x-icu,11,10,i,True,-1,,,ccp-BD,,153.14
12428,ccp-IN-x-icu,11,10,i,True,-1,,,ccp-IN,,153.14
12429,ce-x-icu,11,10,i,True,-1,,,ce,,153.14
12430,ce-RU-x-icu,11,10,i,True,-1,,,ce-RU,,153.14
12431,ceb-x-icu,11,10,i,True,-1,,,ceb,,153.14.37
12432,ceb-PH-x-icu,11,10,i,True,-1,,,ceb-PH,,153.14.37
12433,cgg-x-icu,11,10,i,True,-1,,,cgg,,153.14
12434,cgg-UG-x-icu,11,10,i,True,-1,,,cgg-UG,,153.14
12435,chr-x-icu,11,10,i,True,-1,,,chr,,153.14.37
12436,chr-US-x-icu,11,10,i,True,-1,,,chr-US,,153.14.37
12437,ckb-x-icu,11,10,i,True,-1,,,ckb,,153.14
12438,ckb-IQ-x-icu,11,10,i,True,-1,,,ckb-IQ,,153.14
12439,ckb-IR-x-icu,11,10,i,True,-1,,,ckb-IR,,153.14
12440,cs-x-icu,11,10,i,True,-1,,,cs,,153.14.37
12441,cs-CZ-x-icu,11,10,i,True,-1,,,cs-CZ,,153.14.37
12442,cy-x-icu,11,10,i,True,-1,,,cy,,153.14.37
12443,cy-GB-x-icu,11,10,i,True,-1,,,cy-GB,,153.14.37
12444,da-x-icu,11,10,i,True,-1,,,da,,153.14.37
12445,da-DK-x-icu,11,10,i,True,-1,,,da-DK,,153.14.37
12446,da-GL-x-icu,11,10,i,True,-1,,,da-GL,,153.14.37
12447,dav-x-icu,11,10,i,True,-1,,,dav,,153.14
12448,dav-KE-x-icu,11,10,i,True,-1,,,dav-KE,,153.14
12449,de-x-icu,11,10,i,True,-1,,,de,,153.14
12450,de-AT-x-icu,11,10,i,True,-1,,,de-AT,,153.14
12451,de-BE-x-icu,11,10,i,True,-1,,,de-BE,,153.14
12452,de-CH-x-icu,11,10,i,True,-1,,,de-CH,,153.14
12453,de-DE-x-icu,11,10,i,True,-1,,,de-DE,,153.14
